Wed Sep  7 11:04:41 EDT 2016 - started
                    extended device statistics
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE0000033A499AD2ADd0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE0000033A499AD2ADd0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE00000348499AD797d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE00000348499AD797d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D4900000345499AD2C2d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D4900000345499AD2C2d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D490000034C499AD4A4d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D490000034C499AD4A4d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE0000033C499AD2F9d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE0000033C499AD2F9d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000352499AD88Cd0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000352499AD88Cd0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000347499AD312d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D4900000347499AD312d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE00000349499AD8FDd0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE00000349499AD8FDd0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE0000033E499AD347d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE0000033E499AD347d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE0000034A499AD97Bd0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE0000034A499AD97Bd0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000353499AD946d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000353499AD946d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE0000034B499ADA69d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE0000034B499ADA69d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000355499ADA34d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000355499ADA34d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE00000334499AD161d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4DEE00000334499AD161d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D490000033E499AD112d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D490000033E499AD112d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE00000335499AD1AFd0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE00000335499AD1AFd0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000340499AD17Ed0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000340499AD17Ed0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000343499AD204d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000343499AD204d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE00000336499AD1F3d0
